t,x,y,z,s_along_slope,penetration_est
0.359000,-0.741798,0.080046,-0.000000,-0.041798,0.000046
0.360000,-0.742029,0.080046,-0.000000,-0.042029,0.000046
0.361000,-0.742262,0.080046,-0.000000,-0.042262,0.000046
0.362000,-0.742495,0.080047,-0.000000,-0.042495,0.000047
0.363000,-0.742728,0.080047,-0.000000,-0.042728,0.000047
0.364000,-0.742963,0.080047,-0.000000,-0.042963,0.000047
0.365000,-0.743198,0.080047,-0.000000,-0.043198,0.000047
0.366000,-0.743433,0.080047,-0.000000,-0.043433,0.000047
0.367000,-0.743670,0.080047,-0.000000,-0.043670,0.000047
0.368000,-0.743907,0.080047,-0.000000,-0.043907,0.000047
0.369000,-0.744144,0.080048,-0.000000,-0.044144,0.000048
0.370000,-0.744382,0.080048,-0.000000,-0.044382,0.000048
0.371000,-0.744621,0.080048,-0.000000,-0.044621,0.000048
0.372000,-0.744861,0.080048,-0.000000,-0.044861,0.000048
0.373000,-0.745101,0.080048,-0.000000,-0.045101,0.000048
0.374000,-0.745342,0.080048,-0.000000,-0.045342,0.000048
0.375000,-0.745583,0.080048,-0.000000,-0.045583,0.000048
0.376000,-0.745825,0.080048,-0.000000,-0.045825,0.000048
0.377000,-0.746068,0.080049,-0.000000,-0.046068,0.000049
0.378000,-0.746311,0.080049,-0.000000,-0.046311,0.000049
0.379000,-0.746555,0.080049,-0.000000,-0.046555,0.000049
0.380000,-0.746800,0.080049,-0.000000,-0.046800,0.000049
0.381000,-0.747045,0.080049,-0.000000,-0.047045,0.000049
0.382000,-0.747291,0.080049,-0.000000,-0.047291,0.000049
0.383000,-0.747538,0.080049,-0.000000,-0.047538,0.000049
0.384000,-0.747785,0.080049,-0.000000,-0.047785,0.000049
0.385000,-0.748033,0.080050,-0.000000,-0.048033,0.000050
0.386000,-0.748281,0.080050,-0.000000,-0.048281,0.000050
0.387000,-0.748530,0.080050,-0.000000,-0.048530,0.000050
0.388000,-0.748780,0.080050,-0.000000,-0.048780,0.000050
0.389000,-0.749031,0.080050,-0.000000,-0.049031,0.000050
